Dates,Labels,diff,yahoo_content_scores,yahoo_title_scores,yahoo_firstP_scores,businessinsider_content_scores,businessinsider_title_scores,businessinsider_firstP_scores,marketwatch_content_scores,marketwatch_title_scores,marketwatch_firstP_scores,title_scores,firstP_scores,content_scores,title_scores1,firstP_scores1,content_scores1
3/11/19,1,7.400024,-0.058400899,-0.133966667,-0.058333333,0.004676927,0.100233333,0.112966667,0.033484886,-0.142925,0.07153125,-0.058886111,0.042054861,-0.006746362,-0.016866667,0.027316667,-0.026861986
3/12/19,0,-3.130005,0.079837111,-0.56864,0.175628,0.0121668,-0.09458,0.11791,0.004418474,-0.04494,-0.16657,-0.236053333,0.042322667,0.032140795,-0.33161,0.146769,0.046001956
3/13/19,1,5.059997,-0.024556187,-0.020633333,0.058277778,-0.139486756,-0.3132,0.071125,0.0672,-0.00835,-0.064,-0.114061111,0.021800926,-0.032280981,-0.166916667,0.064701389,-0.082021472
3/14/19,0,-2.490021,0.301292664,0,0.460404167,0.073241819,-0.07212,0.15148,0.113615465,0.0657,0.142269048,-0.00214,0.251384405,0.162716649,-0.03606,0.305942084,0.187267242
3/15/19,0,-8.080017,0.010814891,0.102442857,-0.146433333,0.034409949,-0.079366667,0.053633333,0.101187361,0.1468,0.3324,0.056625397,0.079866667,0.048804067,0.011538095,-0.0464,0.02261242
3/18/19,0,-6.51001,0.105411328,-0.15175,0.3632,0.161297381,0.085025,0.0559,0.066516881,-0.05,-0.144266667,-0.038908333,0.091611111,0.111075197,-0.0333625,0.20955,0.133354355
3/19/19,0,-0.029999,0.105489238,0.085033333,0.114355556,-0.130254667,-0.034433333,0,0.2154125,0.3182,0.147066667,0.122933333,0.087140741,0.063549024,0.0253,0.057177778,-0.012382715
3/20/19,1,3.910004,0.159681236,-0.148,0.164466667,0.066079484,-0.35015,0.0353625,0,0,0,-0.16605,0.066609722,0.075253573,-0.249075,0.099914584,0.11288036
3/21/19,1,1.419983,0.034976474,0.0334,-0.000405,-0.007783999,-0.156225,-0.011,0.265325,0.2732,0,0.050125,-0.003801667,0.097505825,-0.0614125,-0.0057025,0.013596238
3/22/19,0,-8.049988,0.011176,-0.5267,0.31845,-0.012252228,0,-0.276866667,0.195753968,0.330166667,0.162275556,-0.065511111,0.067952963,0.06489258,-0.26335,0.020791667,-0.000538114
3/25/19,1,0.710022,0.159703226,0,-0.155033333,0.001827273,-0.3182,-0.2732,0.095800468,0.208,0.093313333,-0.036733333,-0.11164,0.085776989,-0.1591,-0.214116667,0.08076525
3/26/19,1,3.329987,0.240016667,0,0.008325,0,0,0,-0.1433,-0.5859,-0.2024,-0.1953,-0.064691667,0.032238889,0,0.0041625,0.120008334
3/27/19,1,6.079987,0.032662745,0,-0.05125,-0.114104689,-0.19855,-0.1943125,0.141992128,0.4989,0.0575,0.100116667,-0.0626875,0.020183395,-0.099275,-0.12278125,-0.040720972
3/28/19,1,1.459991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/29/19,1,1.159973,0,0,0,0,0,0,0.013234545,-0.512425,-0.247691071,-0.170808333,-0.08256369,0.004411515,0,0,0
4/1/19,1,6.559998,0.084340267,0.2553,0.102366667,0.017736364,0,0.3182,0.035149801,0.2331,0.135575,0.1628,0.185380556,0.045742144,0.12765,0.210283334,0.051038316
4/2/19,0,-2.419983,0.365576667,0.296,0.42405,0,0,0,0.171362171,0.4393,0.0785,0.2451,0.167516667,0.178979613,0.148,0.212025,0.182788334
4/3/19,1,4.489991,-0.186666667,0.5574,-0.7184,-0.065079167,-0.148,0.148,0.154158737,0.20585,0.1270125,0.205083333,-0.147795833,-0.032529032,0.2047,-0.2852,-0.125872917
4/4/19,1,5.889984,0.057940343,-0.100335714,-0.073991922,-0.034242724,-0.16785625,-0.0206375,0.059376704,-0.0888,-0.030796071,-0.118997321,-0.041808498,0.027691441,-0.134095982,-0.047314711,0.01184881
4/5/19,1,5.100006,0.033339688,0.3947,0.2068625,-0.018178893,0.074,0.148,0.181105948,0.3828,0.2515625,0.283833333,0.202141667,0.065422248,0.23435,0.17743125,0.007580398
4/8/19,0,-4.48999,0,0,0,0.129945833,-0.232066667,0.0336,0.005421032,-0.154633333,-0.234292063,-0.1289,-0.066897354,0.045122288,-0.116033334,0.0168,0.064972917
4/9/19,1,0.660004,-0.155429167,-0.4588,0.5994,0.020111111,-0.020633333,0.113333333,0.122757143,0.1901,0,-0.096444444,0.237577778,-0.004186971,-0.239716667,0.356366667,-0.067659028
